"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"61";"AL032";"MIO_EUR";2013;1280;"AL032 - Fier";"Fier";"AL";5
"62";"AL032";"MIO_EUR";2011;1085;"AL032 - Fier";"Fier";"AL";5
"63";"AL032";"MIO_EUR";2009;847;"AL032 - Fier";"Fier";"AL";5
"64";"AL033";"MIO_EUR";2008;197;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"65";"AL033";"MIO_EUR";2013;251;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"66";"AL033";"MIO_EUR";2010;202;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"67";"AL033";"MIO_EUR";2011;239;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"68";"AL033";"MIO_EUR";2014;259;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"69";"AL033";"MIO_EUR";2009;193;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"70";"AL033";"MIO_EUR";2012;260;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"71";"AL034";"MIO_EUR";2011;541;"AL034 - Korcë";"Korcë";"AL";5
"72";"AL034";"MIO_EUR";2008;494;"AL034 - Korcë";"Korcë";"AL";5
"73";"AL034";"MIO_EUR";2010;501;"AL034 - Korcë";"Korcë";"AL";5
"74";"AL034";"MIO_EUR";2014;571;"AL034 - Korcë";"Korcë";"AL";5
"75";"AL034";"MIO_EUR";2009;492;"AL034 - Korcë";"Korcë";"AL";5
"76";"AL034";"MIO_EUR";2013;564;"AL034 - Korcë";"Korcë";"AL";5
"77";"AL034";"MIO_EUR";2012;560;"AL034 - Korcë";"Korcë";"AL";5
"78";"AL035";"MIO_EUR";2010;539;"AL035 - Vlorë";"Vlorë";"AL";5
"79";"AL035";"MIO_EUR";2011;620;"AL035 - Vlorë";"Vlorë";"AL";5
"80";"AL035";"MIO_EUR";2013;577;"AL035 - Vlorë";"Vlorë";"AL";5
"81";"AL035";"MIO_EUR";2014;593;"AL035 - Vlorë";"Vlorë";"AL";5
"82";"AL035";"MIO_EUR";2008;573;"AL035 - Vlorë";"Vlorë";"AL";5
"83";"AL035";"MIO_EUR";2012;593;"AL035 - Vlorë";"Vlorë";"AL";5
"84";"AL035";"MIO_EUR";2009;562;"AL035 - Vlorë";"Vlorë";"AL";5
"85";"AT111";"MIO_EUR";2004;668;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"86";"AT111";"MIO_EUR";2013;818;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"87";"AT111";"MIO_EUR";2002;619;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"88";"AT111";"MIO_EUR";2010;729;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"89";"AT111";"MIO_EUR";2012;781;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
