"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"5934";"DEA33";"MIO_EUR";2006;15011;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5935";"DEA33";"MIO_EUR";2001;12771;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5936";"DEA33";"MIO_EUR";2011;14980;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5937";"DEA33";"MIO_EUR";2014;16606;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5938";"DEA33";"MIO_EUR";2003;13474;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5939";"DEA33";"MIO_EUR";2002;13031;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5940";"DEA33";"MIO_EUR";2004;13956;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5941";"DEA33";"MIO_EUR";2013;15939;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5942";"DEA33";"MIO_EUR";2000;12359;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5943";"DEA33";"MIO_EUR";2005;14202;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5944";"DEA33";"MIO_EUR";2008;16426;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5945";"DEA33";"MIO_EUR";2012;15309;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5946";"DEA33";"MIO_EUR";2007;15645;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5947";"DEA33";"MIO_EUR";2009;14484;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5948";"DEA33";"MIO_EUR";2010;14643;"DEA33 - Münster, Kreisfreie Stadt";"Münster, Kreisfreie Stadt";"DE";5
"5949";"DEA34";"MIO_EUR";2007;9578;"DEA34 - Borken";"Borken";"DE";5
"5950";"DEA34";"MIO_EUR";2014;11829;"DEA34 - Borken";"Borken";"DE";5
"5951";"DEA34";"MIO_EUR";2000;8010;"DEA34 - Borken";"Borken";"DE";5
"5952";"DEA34";"MIO_EUR";2002;8082;"DEA34 - Borken";"Borken";"DE";5
"5953";"DEA34";"MIO_EUR";2011;10958;"DEA34 - Borken";"Borken";"DE";5
"5954";"DEA34";"MIO_EUR";2006;9040;"DEA34 - Borken";"Borken";"DE";5
"5955";"DEA34";"MIO_EUR";2013;11440;"DEA34 - Borken";"Borken";"DE";5
"5956";"DEA34";"MIO_EUR";2010;10345;"DEA34 - Borken";"Borken";"DE";5
"5957";"DEA34";"MIO_EUR";2003;8129;"DEA34 - Borken";"Borken";"DE";5
"5958";"DEA34";"MIO_EUR";2009;9751;"DEA34 - Borken";"Borken";"DE";5
"5959";"DEA34";"MIO_EUR";2001;8136;"DEA34 - Borken";"Borken";"DE";5
"5960";"DEA34";"MIO_EUR";2005;8649;"DEA34 - Borken";"Borken";"DE";5
"5961";"DEA34";"MIO_EUR";2008;10052;"DEA34 - Borken";"Borken";"DE";5
"5962";"DEA34";"MIO_EUR";2012;11184;"DEA34 - Borken";"Borken";"DE";5
"5963";"DEA34";"MIO_EUR";2004;8421;"DEA34 - Borken";"Borken";"DE";5
"5964";"DEA35";"MIO_EUR";2009;4713;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5965";"DEA35";"MIO_EUR";2005;4408;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5966";"DEA35";"MIO_EUR";2004;4263;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5967";"DEA35";"MIO_EUR";2008;4725;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5968";"DEA35";"MIO_EUR";2002;4034;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5969";"DEA35";"MIO_EUR";2011;5109;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5970";"DEA35";"MIO_EUR";2010;4833;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5971";"DEA35";"MIO_EUR";2003;4153;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5972";"DEA35";"MIO_EUR";2013;5314;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5973";"DEA35";"MIO_EUR";2000;3982;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5974";"DEA35";"MIO_EUR";2014;5465;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5975";"DEA35";"MIO_EUR";2007;4937;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5976";"DEA35";"MIO_EUR";2006;4543;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5977";"DEA35";"MIO_EUR";2012;5280;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5978";"DEA35";"MIO_EUR";2001;4068;"DEA35 - Coesfeld";"Coesfeld";"DE";5
"5979";"DEA36";"MIO_EUR";2009;13196;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5980";"DEA36";"MIO_EUR";2011;14549;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5981";"DEA36";"MIO_EUR";2014;15278;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5982";"DEA36";"MIO_EUR";2000;10262;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5983";"DEA36";"MIO_EUR";2005;11938;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5984";"DEA36";"MIO_EUR";2006;12142;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5985";"DEA36";"MIO_EUR";2008;13435;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5986";"DEA36";"MIO_EUR";2010;13909;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5987";"DEA36";"MIO_EUR";2004;11968;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5988";"DEA36";"MIO_EUR";2007;12579;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5989";"DEA36";"MIO_EUR";2013;14702;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5990";"DEA36";"MIO_EUR";2001;11091;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5991";"DEA36";"MIO_EUR";2002;11297;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5992";"DEA36";"MIO_EUR";2003;11104;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5993";"DEA36";"MIO_EUR";2012;14546;"DEA36 - Recklinghausen";"Recklinghausen";"DE";5
"5994";"DEA37";"MIO_EUR";2002;8848;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"5995";"DEA37";"MIO_EUR";2010;10940;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"5996";"DEA37";"MIO_EUR";2012;11891;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"5997";"DEA37";"MIO_EUR";2011;11624;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"5998";"DEA37";"MIO_EUR";2000;8601;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"5999";"DEA37";"MIO_EUR";2005;9513;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6000";"DEA37";"MIO_EUR";2006;9991;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6001";"DEA37";"MIO_EUR";2008;10900;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6002";"DEA37";"MIO_EUR";2001;8715;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6003";"DEA37";"MIO_EUR";2009;10368;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6004";"DEA37";"MIO_EUR";2004;9228;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6005";"DEA37";"MIO_EUR";2003;8967;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6006";"DEA37";"MIO_EUR";2013;12012;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6007";"DEA37";"MIO_EUR";2007;10779;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6008";"DEA37";"MIO_EUR";2014;12529;"DEA37 - Steinfurt";"Steinfurt";"DE";5
"6009";"DEA38";"MIO_EUR";2005;6256;"DEA38 - Warendorf";"Warendorf";"DE";5
"6010";"DEA38";"MIO_EUR";2004;6214;"DEA38 - Warendorf";"Warendorf";"DE";5
"6011";"DEA38";"MIO_EUR";2009;6921;"DEA38 - Warendorf";"Warendorf";"DE";5
"6012";"DEA38";"MIO_EUR";2006;6459;"DEA38 - Warendorf";"Warendorf";"DE";5
"6013";"DEA38";"MIO_EUR";2011;7403;"DEA38 - Warendorf";"Warendorf";"DE";5
"6014";"DEA38";"MIO_EUR";2012;7605;"DEA38 - Warendorf";"Warendorf";"DE";5
"6015";"DEA38";"MIO_EUR";2010;7018;"DEA38 - Warendorf";"Warendorf";"DE";5
"6016";"DEA38";"MIO_EUR";2007;7004;"DEA38 - Warendorf";"Warendorf";"DE";5
"6017";"DEA38";"MIO_EUR";2002;5952;"DEA38 - Warendorf";"Warendorf";"DE";5
"6018";"DEA38";"MIO_EUR";2000;5852;"DEA38 - Warendorf";"Warendorf";"DE";5
"6019";"DEA38";"MIO_EUR";2003;6098;"DEA38 - Warendorf";"Warendorf";"DE";5
"6020";"DEA38";"MIO_EUR";2008;7019;"DEA38 - Warendorf";"Warendorf";"DE";5
"6021";"DEA38";"MIO_EUR";2013;7823;"DEA38 - Warendorf";"Warendorf";"DE";5
"6022";"DEA38";"MIO_EUR";2014;7931;"DEA38 - Warendorf";"Warendorf";"DE";5
"6023";"DEA38";"MIO_EUR";2001;5811;"DEA38 - Warendorf";"Warendorf";"DE";5
"6024";"DEA41";"MIO_EUR";2000;8854;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6025";"DEA41";"MIO_EUR";2009;10251;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6026";"DEA41";"MIO_EUR";2012;11358;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6027";"DEA41";"MIO_EUR";2007;10373;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6028";"DEA41";"MIO_EUR";2010;10448;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6029";"DEA41";"MIO_EUR";2004;9235;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6030";"DEA41";"MIO_EUR";2001;9250;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6031";"DEA41";"MIO_EUR";2003;9131;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6032";"DEA41";"MIO_EUR";2005;9505;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6033";"DEA41";"MIO_EUR";2008;10481;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6034";"DEA41";"MIO_EUR";2006;9631;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6035";"DEA41";"MIO_EUR";2002;9095;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6036";"DEA41";"MIO_EUR";2011;11082;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6037";"DEA41";"MIO_EUR";2014;12233;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6038";"DEA41";"MIO_EUR";2013;11756;"DEA41 - Bielefeld, Kreisfreie Stadt";"Bielefeld, Kreisfreie Stadt";"DE";5
"6039";"DEA42";"MIO_EUR";2010;13350;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6040";"DEA42";"MIO_EUR";2011;14351;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6041";"DEA42";"MIO_EUR";2005;11474;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6042";"DEA42";"MIO_EUR";2001;10862;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6043";"DEA42";"MIO_EUR";2012;14680;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6044";"DEA42";"MIO_EUR";2004;11168;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6045";"DEA42";"MIO_EUR";2000;10501;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6046";"DEA42";"MIO_EUR";2009;12778;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6047";"DEA42";"MIO_EUR";2013;15284;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6048";"DEA42";"MIO_EUR";2002;10853;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6049";"DEA42";"MIO_EUR";2014;15742;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6050";"DEA42";"MIO_EUR";2008;13240;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6051";"DEA42";"MIO_EUR";2006;12179;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6052";"DEA42";"MIO_EUR";2003;10746;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6053";"DEA42";"MIO_EUR";2007;13045;"DEA42 - Gütersloh";"Gütersloh";"DE";5
"6054";"DEA43";"MIO_EUR";2004;6606;"DEA43 - Herford";"Herford";"DE";5
"6055";"DEA43";"MIO_EUR";2006;6646;"DEA43 - Herford";"Herford";"DE";5
"6056";"DEA43";"MIO_EUR";2014;7880;"DEA43 - Herford";"Herford";"DE";5
"6057";"DEA43";"MIO_EUR";2010;6804;"DEA43 - Herford";"Herford";"DE";5
"6058";"DEA43";"MIO_EUR";2013;7630;"DEA43 - Herford";"Herford";"DE";5
"6059";"DEA43";"MIO_EUR";2011;7082;"DEA43 - Herford";"Herford";"DE";5
"6060";"DEA43";"MIO_EUR";2005;6731;"DEA43 - Herford";"Herford";"DE";5
"6061";"DEA43";"MIO_EUR";2009;6702;"DEA43 - Herford";"Herford";"DE";5
"6062";"DEA43";"MIO_EUR";2003;6575;"DEA43 - Herford";"Herford";"DE";5
"6063";"DEA43";"MIO_EUR";2000;6307;"DEA43 - Herford";"Herford";"DE";5
"6064";"DEA43";"MIO_EUR";2012;7290;"DEA43 - Herford";"Herford";"DE";5
"6065";"DEA43";"MIO_EUR";2001;6320;"DEA43 - Herford";"Herford";"DE";5
"6066";"DEA43";"MIO_EUR";2002;6497;"DEA43 - Herford";"Herford";"DE";5
"6067";"DEA43";"MIO_EUR";2008;6913;"DEA43 - Herford";"Herford";"DE";5
"6068";"DEA43";"MIO_EUR";2007;6939;"DEA43 - Herford";"Herford";"DE";5
"6069";"DEA44";"MIO_EUR";2006;3099;"DEA44 - Höxter";"Höxter";"DE";5
"6070";"DEA44";"MIO_EUR";2001;2913;"DEA44 - Höxter";"Höxter";"DE";5
"6071";"DEA44";"MIO_EUR";2014;3581;"DEA44 - Höxter";"Höxter";"DE";5
"6072";"DEA44";"MIO_EUR";2003;2918;"DEA44 - Höxter";"Höxter";"DE";5
"6073";"DEA44";"MIO_EUR";2004;2976;"DEA44 - Höxter";"Höxter";"DE";5
"6074";"DEA44";"MIO_EUR";2009;3167;"DEA44 - Höxter";"Höxter";"DE";5
"6075";"DEA44";"MIO_EUR";2008;3241;"DEA44 - Höxter";"Höxter";"DE";5
"6076";"DEA44";"MIO_EUR";2000;2902;"DEA44 - Höxter";"Höxter";"DE";5
"6077";"DEA44";"MIO_EUR";2005;2986;"DEA44 - Höxter";"Höxter";"DE";5
"6078";"DEA44";"MIO_EUR";2007;3280;"DEA44 - Höxter";"Höxter";"DE";5
"6079";"DEA44";"MIO_EUR";2010;3210;"DEA44 - Höxter";"Höxter";"DE";5
"6080";"DEA44";"MIO_EUR";2012;3431;"DEA44 - Höxter";"Höxter";"DE";5
"6081";"DEA44";"MIO_EUR";2002;2869;"DEA44 - Höxter";"Höxter";"DE";5
"6082";"DEA44";"MIO_EUR";2011;3383;"DEA44 - Höxter";"Höxter";"DE";5
"6083";"DEA44";"MIO_EUR";2013;3479;"DEA44 - Höxter";"Höxter";"DE";5
"6084";"DEA45";"MIO_EUR";2006;8166;"DEA45 - Lippe";"Lippe";"DE";5
"6085";"DEA45";"MIO_EUR";2003;7597;"DEA45 - Lippe";"Lippe";"DE";5
"6086";"DEA45";"MIO_EUR";2009;8092;"DEA45 - Lippe";"Lippe";"DE";5
"6087";"DEA45";"MIO_EUR";2004;7674;"DEA45 - Lippe";"Lippe";"DE";5
"6088";"DEA45";"MIO_EUR";2008;8633;"DEA45 - Lippe";"Lippe";"DE";5
"6089";"DEA45";"MIO_EUR";2007;8672;"DEA45 - Lippe";"Lippe";"DE";5
"6090";"DEA45";"MIO_EUR";2014;9771;"DEA45 - Lippe";"Lippe";"DE";5
"6091";"DEA45";"MIO_EUR";2002;7692;"DEA45 - Lippe";"Lippe";"DE";5
"6092";"DEA45";"MIO_EUR";2001;7731;"DEA45 - Lippe";"Lippe";"DE";5
"6093";"DEA45";"MIO_EUR";2011;8924;"DEA45 - Lippe";"Lippe";"DE";5
"6094";"DEA45";"MIO_EUR";2005;7861;"DEA45 - Lippe";"Lippe";"DE";5
"6095";"DEA45";"MIO_EUR";2010;8479;"DEA45 - Lippe";"Lippe";"DE";5
"6096";"DEA45";"MIO_EUR";2000;7671;"DEA45 - Lippe";"Lippe";"DE";5
"6097";"DEA45";"MIO_EUR";2012;9162;"DEA45 - Lippe";"Lippe";"DE";5
"6098";"DEA45";"MIO_EUR";2013;9385;"DEA45 - Lippe";"Lippe";"DE";5
"6099";"DEA46";"MIO_EUR";2014;11587;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6100";"DEA46";"MIO_EUR";2005;9208;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6101";"DEA46";"MIO_EUR";2011;10811;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6102";"DEA46";"MIO_EUR";2002;8694;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6103";"DEA46";"MIO_EUR";2004;8818;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6104";"DEA46";"MIO_EUR";2001;8462;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6105";"DEA46";"MIO_EUR";2009;9691;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6106";"DEA46";"MIO_EUR";2003;8914;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6107";"DEA46";"MIO_EUR";2008;10193;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6108";"DEA46";"MIO_EUR";2006;9325;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6109";"DEA46";"MIO_EUR";2013;11209;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6110";"DEA46";"MIO_EUR";2007;9858;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6111";"DEA46";"MIO_EUR";2010;10052;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6112";"DEA46";"MIO_EUR";2000;8729;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6113";"DEA46";"MIO_EUR";2012;10951;"DEA46 - Minden-Lübbecke";"Minden-Lübbecke";"DE";5
"6114";"DEA47";"MIO_EUR";2010;8586;"DEA47 - Paderborn";"Paderborn";"DE";5
"6115";"DEA47";"MIO_EUR";2014;9971;"DEA47 - Paderborn";"Paderborn";"DE";5
"6116";"DEA47";"MIO_EUR";2002;6994;"DEA47 - Paderborn";"Paderborn";"DE";5
"6117";"DEA47";"MIO_EUR";2008;8850;"DEA47 - Paderborn";"Paderborn";"DE";5
"6118";"DEA47";"MIO_EUR";2012;9203;"DEA47 - Paderborn";"Paderborn";"DE";5
"6119";"DEA47";"MIO_EUR";2006;7862;"DEA47 - Paderborn";"Paderborn";"DE";5
"6120";"DEA47";"MIO_EUR";2004;7266;"DEA47 - Paderborn";"Paderborn";"DE";5
"6121";"DEA47";"MIO_EUR";2009;8431;"DEA47 - Paderborn";"Paderborn";"DE";5
"6122";"DEA47";"MIO_EUR";2011;8856;"DEA47 - Paderborn";"Paderborn";"DE";5
"6123";"DEA47";"MIO_EUR";2000;6855;"DEA47 - Paderborn";"Paderborn";"DE";5
"6124";"DEA47";"MIO_EUR";2005;7432;"DEA47 - Paderborn";"Paderborn";"DE";5
"6125";"DEA47";"MIO_EUR";2001;6881;"DEA47 - Paderborn";"Paderborn";"DE";5
"6126";"DEA47";"MIO_EUR";2007;8664;"DEA47 - Paderborn";"Paderborn";"DE";5
"6127";"DEA47";"MIO_EUR";2013;9375;"DEA47 - Paderborn";"Paderborn";"DE";5
"6128";"DEA47";"MIO_EUR";2003;6916;"DEA47 - Paderborn";"Paderborn";"DE";5
"6129";"DEA51";"MIO_EUR";2006;9849;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6130";"DEA51";"MIO_EUR";2002;9188;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6131";"DEA51";"MIO_EUR";2011;10526;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6132";"DEA51";"MIO_EUR";2013;11027;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6133";"DEA51";"MIO_EUR";2009;9737;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6134";"DEA51";"MIO_EUR";2000;9591;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6135";"DEA51";"MIO_EUR";2010;10657;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6136";"DEA51";"MIO_EUR";2012;10540;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6137";"DEA51";"MIO_EUR";2008;10058;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6138";"DEA51";"MIO_EUR";2001;8938;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6139";"DEA51";"MIO_EUR";2007;10056;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6140";"DEA51";"MIO_EUR";2003;9384;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6141";"DEA51";"MIO_EUR";2014;11711;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6142";"DEA51";"MIO_EUR";2004;9372;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6143";"DEA51";"MIO_EUR";2005;9438;"DEA51 - Bochum, Kreisfreie Stadt";"Bochum, Kreisfreie Stadt";"DE";5
"6144";"DEA52";"MIO_EUR";2002;15237;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6145";"DEA52";"MIO_EUR";2012;19528;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6146";"DEA52";"MIO_EUR";2003;15837;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6147";"DEA52";"MIO_EUR";2013;19813;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6148";"DEA52";"MIO_EUR";2001;15042;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6149";"DEA52";"MIO_EUR";2005;17021;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6150";"DEA52";"MIO_EUR";2007;17771;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6151";"DEA52";"MIO_EUR";2000;14169;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6152";"DEA52";"MIO_EUR";2008;17939;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6153";"DEA52";"MIO_EUR";2010;18098;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6154";"DEA52";"MIO_EUR";2009;17670;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6155";"DEA52";"MIO_EUR";2011;18907;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6156";"DEA52";"MIO_EUR";2014;20365;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6157";"DEA52";"MIO_EUR";2006;16576;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6158";"DEA52";"MIO_EUR";2004;16612;"DEA52 - Dortmund, Kreisfreie Stadt";"Dortmund, Kreisfreie Stadt";"DE";5
"6159";"DEA53";"MIO_EUR";2011;6039;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6160";"DEA53";"MIO_EUR";2001;4986;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6161";"DEA53";"MIO_EUR";2012;5987;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6162";"DEA53";"MIO_EUR";2002;4998;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6163";"DEA53";"MIO_EUR";2008;5946;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6164";"DEA53";"MIO_EUR";2013;5964;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6165";"DEA53";"MIO_EUR";2003;4951;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6166";"DEA53";"MIO_EUR";2006;5434;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6167";"DEA53";"MIO_EUR";2004;5074;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6168";"DEA53";"MIO_EUR";2014;6133;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6169";"DEA53";"MIO_EUR";2009;5386;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6170";"DEA53";"MIO_EUR";2000;5151;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
"6171";"DEA53";"MIO_EUR";2005;5289;"DEA53 - Hagen, Kreisfreie Stadt";"Hagen, Kreisfreie Stadt";"DE";5
